OB(CO2),density,gas-phase_formation_enthalpy,sublimation_enthalpy,heat_of_explosion,detonation_velocity,detonation_pressure,gurney_energy,h50(obs),SMILES,Number of Atoms,Exact Molecular Weight,Average Molecular Weight,Heavy Atoms Molecular Weight,Number of Radical Electrons,Number of Valence Electrons,Fp Density Morgan 1,Fp Density Morgan 2,Fp Density Morgan 3,Max Absolute Partial Charge,Max Partial Charge,Min Absolute Partial Charge,Min Partial Charge,BalabanJ,BertzCT,Chi0,Chi1,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10
-67.8,1.719,382.3,185.0,5.05,7.203,223.8,4794.0,103.0,n1n[nH]cc1Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],21.0,295.03013088,295.17100000000005,290.13100000000003,0.0,108.0,1.0,1.5714285714285714,1.9523809523809523,0.3260692800461013,0.3062320563173469,0.3062320563173469,-0.3260692800461013,2.663552922746615,691.7169894756795,15.568549621822845,9.896754605515328,37.51947824518727,5.817862777835028,12.13273413692322,0.0,6.196843571613076,0.0,0.0,20.72753731626328,0.0,30.34295480629672,0.0,0.0,29.746150793650795,44.09076522738725,-2.929256660997732,-0.0184693877551018,1.2409051398337114,1.2032382212144117,0.0,0.0,0.0
-68.5,1.701,367.0,162.0,5.27,7.131,217.9,4623.0,56.0,n1c(cn(n1)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],20.0,280.01923184799995,280.156,276.124,0.0,102.0,0.9,1.45,1.85,0.4104979155518979,0.4104979155518979,0.3577015423450694,-0.3577015423450694,2.565711944911516,691.7474437542667,14.861442840636292,9.379917853109715,31.96256847365516,5.687386274683562,0.0,29.07774771214309,0.0,0.0,0.0,10.312066903955904,0.0,30.34295480629672,0.0,0.8453703703703703,29.428008314436887,38.47717183169564,-1.1470313681027966,-0.5841118669690097,2.755607835726883,0.8916515495086923,0.0,0.0,0.0
-68.5,1.701,403.8,162.0,5.4,7.175,220.6,4739.0,51.0,n1c(cn(n1)c1ccc(c(c1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],20.0,280.01923184799995,280.156,276.124,0.0,102.0,0.95,1.6,2.1,0.4104978735098707,0.4104978735098707,0.3577015423452678,-0.3577015423452678,2.522880766385816,723.9974437542668,14.861442840636292,9.396754605515325,31.96256847365516,5.687386274683562,0.0,23.01138064368148,6.06636706846161,0.0,0.0,10.312066903955904,0.0,30.34295480629672,0.0,0.9115665154950868,29.262443573108257,38.52108302889057,-1.387112885277568,-0.5499945935164192,2.9732719198790627,0.9354091080876796,0.0,0.0,0.0
-60.9,1.783,478.4,240.0,5.46,7.415,242.5,5016.0,40.0,c1(c2c(cc(c1)[N+](=O)[O-])n(nn2)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],30.0,420.0050383279999,420.2100000000002,416.17800000000017,0.0,152.0,0.6333333333333333,1.0666666666666669,1.5,0.3084737049534288,0.3084737049534288,0.2583048385479347,-0.2583048385479347,2.5037360339808927,1262.638470355956,22.32554445577405,14.02265226320156,69.77427432742225,0.0,22.880904140530014,6.06636706846161,0.0,0.0,0.0,10.312066903955904,0.0,50.57159134382786,0.0,0.41202947845805,50.70617803559543,63.04220843553726,-6.952515169648104,0.0,2.1254325533907057,0.0,0.0,0.0,0.0
-60.9,1.783,455.3,240.0,5.41,7.396,241.3,4966.0,40.0,c1c(cc(c2c1nnn2c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],30.0,420.0050383279999,420.2100000000002,416.17800000000017,0.0,152.0,0.6333333333333333,1.0666666666666669,1.5,0.3084780150491679,0.3084780150491679,0.2583048310283735,-0.2583048310283735,2.507542115643818,1262.638470355956,22.32554445577405,14.02265226320156,69.77427432742225,0.0,22.880904140530014,6.06636706846161,0.0,0.0,0.0,10.312066903955904,0.0,50.57159134382786,0.0,0.3722071050642479,50.74780080142455,63.13336029373999,-7.031423755784327,0.0,2.1113888888888885,0.0,0.0,0.0,0.0
-74.2,1.768,894.1,319.0,5.27,7.139,223.6,4594.0,40.0,c1c2c(cc3c1n(nn3)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])n(nn2)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],42.0,582.0228136320001,582.3180000000003,576.2700000000003,0.0,210.0,0.4523809523809524,0.7380952380952381,0.9761904761904762,0.308473644884261,0.308473644884261,0.2583022945869862,-0.2583022945869862,1.8084157690959723,1864.815453818387,30.618073195657992,19.793509211030653,75.03895649037452,22.066802870465047,33.62907414413681,12.13273413692322,0.0,0.0,0.0,20.62413380791181,0.0,60.68590961259344,0.0,1.286831065759637,62.78439934630899,84.28886860060436,-8.47341265988896,0.0,4.113313647215995,0.0,0.0,0.0,0.0
-74.2,1.768,891.0,319.0,5.27,7.137,223.5,4589.0,38.0,c1c2c(cc3c1n(nn3)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])nnn2c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],42.0,582.0228136320001,582.3180000000003,576.2700000000003,0.0,210.0,0.4523809523809524,0.7619047619047619,1.0238095238095235,0.3084736448498459,0.3084736448498459,0.2583022945869862,-0.2583022945869862,1.8679902913190845,1869.315453818387,30.618073195657992,19.793509211030653,75.03895649037452,22.066802870465047,33.62907414413681,12.13273413692322,0.0,0.0,0.0,20.62413380791181,0.0,60.68590961259344,0.0,1.2039023957710826,62.95203404233115,84.562427045492,-8.745433169493273,0.0,4.0270696858990505,0.0,0.0,0.0,0.0
-54.0,1.779,465.1,190.0,5.22,7.617,255.6,5454.0,36.0,n1nn[nH]c1Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],21.0,296.02537984799994,296.159,292.127,0.0,108.0,1.0,1.5714285714285714,1.9523809523809523,0.3117375858310217,0.3062770769647621,0.3062770769647621,-0.3117375858310217,2.663552922746615,691.7169894756795,15.568549621822845,9.896754605515328,37.51947824518727,5.948339280986494,12.13273413692322,0.0,0.0,0.0,0.0,25.94092241191814,0.0,30.34295480629672,0.0,0.0,29.63677351033006,46.769166587931466,-3.0663010204081624,-0.1990249433106574,1.1927191987906274,0.0,0.0,0.0,0.0
-60.9,1.783,494.0,240.0,5.5,7.428,243.3,5051.0,35.0,c12cc(c(cc1nnn2c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],30.0,420.0050383279999,420.2100000000002,416.17800000000017,0.0,152.0,0.6333333333333333,1.1,1.5333333333333334,0.3479281828984921,0.3479281828984921,0.2583022945869862,-0.2583022945869862,2.458447321024396,1262.638470355956,22.32554445577405,14.02265226320156,64.257573609806,5.516700717616262,28.947271208991623,0.0,0.0,0.0,0.0,10.312066903955904,0.0,50.57159134382786,0.0,0.4782256235827664,50.46934079161713,62.99486882542529,-6.769471805251025,0.0,2.160369897959183,0.0,0.0,0.0,0.0
-60.0,1.759,532.1,294.0,5.4,7.4,239.5,5030.0,35.0,n1c(cn(n1)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],36.0,506.0166656319999,506.2600000000003,500.21200000000033,0.0,184.0,0.6111111111111112,1.0,1.3611111111111112,0.3260475939432832,0.3084525712411593,0.3084525712411593,-0.3260475939432832,2.1962524618921693,1427.459636430002,26.894458556526395,16.810345963436262,80.85681926820953,0.0,35.1441147806047,0.0,0.0,0.0,0.0,15.628855507962236,0.0,60.68590961259344,0.0,0.4358952191987906,60.77535890475083,76.6653430484071,-8.193089839719146,-0.5722205950281352,1.6843176337687382,0.7043956286218194,0.0,0.0,0.0
