Name,Abbrev.,Category,Molecular,OB(CO2),density,gas-phase_formation_enthalpy,sublimation_enthalpy,heat_of_explosion,detonation_velocity,detonation_pressure,gurney_energy,h50(calc),h50(obs),SMILES
"2,6-bis-(picrylamino)-pyridine",,NAC,C17H9N9O12,-79.8,1.689,311.0,314.0,4.82,6.771,195.6,3950.0,225.0,192.0,n1c(cccc1Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"2,4,6-trinitro-m-cresol",,NAC,C7H5N3O7,-62.5,1.712,-166.0,161.0,4.78,7.095,216.6,4401.0,134.0,191.0,N(=O)(=O)c1c(c(cc(c1C)N(=O)=O)N(=O)=O)O
"1-Ethoxy-2,4,6-trinitrobenzene",,NAC,C8H7N3O7,-77.8,1.591,-120.0,152.0,4.91,6.698,184.2,3945.0,245.0,190.0,N(=O)(=O)c1c(c(cc(c1)N(=O)=O)N(=O)=O)OCC
"2,4,6-trinitroaniline",TNA,NAC,C6H4N4O6,-56.1,1.742,14.5,149.0,4.98,7.353,235.1,4870.0,101.0,177.0,c1(cc(c(c(c1)N(=O)=O)N)N(=O)=O)N(=O)=O
3-Amino-trinitrotoluene,,NAC,C7H6N4O6,-72.7,1.658,17.2,153.0,4.87,6.959,204.2,4396.0,199.0,174.0,c1(c(cc(c(c1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-])C
"3-Methyl-2,4,6-trinitroaniline",,NAC,C7H6N4O6,-72.7,1.658,17.2,153.0,4.87,6.959,204.2,4396.0,199.0,174.0,c1(c(cc(c(c1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-])C
"2,4,6-trinitrotoluene","2,4,6-TNT",NAC,C7H5N3O6,-74.0,1.629,24.3,137.0,5.2,6.874,197.0,4204.0,121.0,160.0,N(=O)(=O)c1cc(c(c(c1)N(=O)=O)C)N(=O)=O
"3-methyl-2,2',4,4',6,-pentanitrobiphenyl",,NAC,C13H7N5O10,-79.3,1.667,154.3,226.0,5.22,6.816,196.6,4027.0,124.0,143.0,N(=O)(=O)c1c(c(cc(c1)N(=O)=O)N(=O)=O)c1c(c(c(cc1)N(=O)=O)C)N(=O)=O
"2,4,6-trinitrobenzonitrile",,NAC,C7H2N4O6,-60.5,1.719,239.9,157.0,5.5,7.19,223.0,4452.0,77.0,140.0,c1(c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C#N
"2,4,6-trinitro-3-aminophenol",,NAC,C6H4N4O7,-45.9,1.835,-159.3,173.0,4.65,7.608,259.7,5089.0,115.0,138.0,Nc1c(cc(c(c1N(=O)=O)O)N(=O)=O)N(=O)=O
"3,3'-dimethyl-2,2',4,4',6,6'-hexanitrobiphenyl",,NAC,C14H8N6O12,-70.8,1.688,142.5,258.0,5.36,7.058,212.4,4470.0,96.0,135.0,Cc1c(cc(c(c1N(=O)=O)c1c(c(c(cc1N(=O)=O)N(=O)=O)C)N(=O)=O)N(=O)=O)N(=O)=O
"3,3'-Diamino-2,2',4,4',6,6'-hexanitrobiphenyl",DIPAM,NAC,C12H6N8O12,-52.8,1.812,149.2,283.0,5.2,7.596,256.9,5294.0,79.0,132.0,c1(cc(c(c(c1c1c(cc(c(c1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-]
"3,3'-diamino-2,2',4,4',6,6'-hexanitrobiphenyl",DIPAM,NAC,C12H7N9O12,-52.9,1.806,162.1,297.0,5.08,7.592,256.2,5295.0,100.0,132.0,N(c1c(c(c(cc1N(=O)=O)N(=O)=O)N)N(=O)=O)c1c(cc(c(c1N(=O)=O)N)N(=O)=O)N(=O)=O
"1-hydroxy-3,5-diamino-2,4,6-trinitrobenzene",,NAC,C6H5N5O7,-46.3,1.867,-168.6,189.0,4.37,7.672,266.8,5137.0,192.0,120.0,Oc1c(c(c(c(c1N(=O)=O)N)N(=O)=O)N)N(=O)=O
"2,2',4,4',6,6'-hexanitrobibenzyl",,NAC,C14H8N6O12,-70.8,1.688,116.9,264.0,5.29,7.035,211.1,4413.0,96.0,114.0,C(c1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O)Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
Trinitromesitylene,,NAC,C9H9N3O6,-103.5,1.512,-11.2,145.0,4.81,6.22,153.6,3463.0,431.0,110.0,c1(c(c(c(c(c1[N+](=O)[O-])C)[N+](=O)[O-])C)[N+](=O)[O-])C
"2,4,6-trinitrobenzoic acid",,NAC,C7H3N3O8,-46.7,1.801,-293.2,174.0,4.57,7.3,236.5,4396.0,92.0,109.0,N(=O)(=O)c1c(c(cc(c1)N(=O)=O)N(=O)=O)C(=O)O
"3,4,5-Trinitrotoluene","3,4,5-TNT",NAC,C7H5N3O6,-74.0,1.629,61.4,137.0,5.36,6.927,200.1,4336.0,121.0,107.0,c1(cc(c(c(c1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C
"1-Picryl-2-picrylamino-1,2-dihydropyrimidine",,NAC,C16H9N9O12,-75.5,1.69,453.2,292.0,5.25,6.998,209.0,4440.0,200.0,106.0,N1(C=CC=NC1Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"1,3,5-trinitrobenzene",TNB,NAC,C6H3N3O6,-56.3,1.709,31.5,133.0,5.38,7.274,227.4,4688.0,57.0,100.0,c1(cc(cc(c1)N(=O)=O)N(=O)=O)N(=O)=O
"1,4,5,8-tetranitronaphthalene",,NAC,C10H4N4O8,-72.7,1.728,188.6,182.0,5.42,7.053,215.3,4342.0,86.0,100.0,c1(ccc(c2c1c(ccc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
Trinitroxylene,,NAC,C8H7N3O6,-89.6,1.565,7.4,141.0,4.99,6.524,172.9,3796.0,237.0,100.0,c1(c(cc(c(c1[N+](=O)[O-])C)[N+](=O)[O-])[N+](=O)[O-])C
"3,5-bis-(picrylamino)-2,6-dinitropyridine",,NAC,C17H7N11O16,-55.4,1.781,359.8,371.0,5.3,7.461,245.3,5038.0,78.0,92.0,n1c(c(cc(c1[N+](=O)[O-])Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"4,6-Dinitro-1-picryl-benzotriazole",,NAC,C13H5N7O10,-70.6,1.744,317.1,236.0,5.16,7.069,217.5,4367.0,127.0,91.0,c1(cc(cc2c1ncn2c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"Methyl-2,4,6-trinitrobenzoate",,NAC,C8H5N3O8,-62.0,1.667,-287.5,163.0,4.56,6.833,197.6,3808.0,176.0,90.0,C(=O)(c1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O)OC
"1,3,5-_x0090_trinitro-2,4,6-_x0090_tripicryl benzene (BRX)",,NAC,C24H6N12O24,-51.0,1.816,462.8,484.0,5.71,7.623,259.1,5251.0,37.0,89.0,c1(c(c(c(c(c1c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
picric acid,PA,NAC,C6H3N3O7,-45.4,1.802,-146.5,157.0,4.98,7.532,251.9,4967.0,67.0,87.0,N(=O)(=O)c1c(c(cc(c1)N(=O)=O)N(=O)=O)O
