Name,Abbrev.,Category,Molecular,OB(CO2),density,gas-phase_formation_enthalpy,sublimation_enthalpy,heat_of_explosion,detonation_velocity,detonation_pressure,gurney_energy,h50(calc),h50(obs),SMILES
"2,6-bis-(picrylazo)-3,5-dinitropyridine",,NAC,C17H5N13O16,-50.7,1.787,865.9,382.0,5.79,7.668,259.7,5481.0,80.0,33.0,n1c(c(cc(c1/N=N/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])/N=N/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"2,4,6-Trinitrostyrene",,NAC,C8H5N3O6,-83.6,1.598,149.9,141.0,5.45,6.691,184.3,3900.0,155.0,32.0,c1(cc(cc(c1C=C)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"1,2,4,5-tetranitrobenzene",TetNB,NAC,C6H2N4O8,-31.0,1.817,111.0,161.0,6.08,8.097,292.5,6189.0,23.0,27.0,N(=O)(=O)c1cc(c(cc1N(=O)=O)N(=O)=O)N(=O)=O
"2,4,6-trinitrophloroglucinol",,NAC,C6H3N3O9,-27.6,1.992,-500.6,204.0,4.34,8.028,303.1,5386.0,82.0,27.0,N(=O)(=O)c1c(c(c(c(c1O)N(=O)=O)O)N(=O)=O)O
"2,3,5,6-Tetranitrotoluene","2,3,5,6-TetNT",NAC,C7H4N4O8,-47.0,1.737,78.7,165.0,5.8,7.66,254.7,5505.0,45.0,25.0,c1(c(c(cc(c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C
"4,4'-Diamino-2,2',3,3',4,4',5,5',6,6'-octanitrobiphenyl",CL-12,NAC,C12H4N10O16,-29.4,1.915,314.3,340.0,5.9,8.401,324.6,6788.0,30.0,20.0,c1(c(c(c(c(c1c1c(c(c(c(c1[N+](=O)[O-])[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-]
"2,4,6-trinitropyridine-1-oxide",,NAC,C5H2N4O7,-27.8,1.84,175.1,144.0,6.32,8.348,313.2,6818.0,49.0,20.0,[n+]1(c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[O-]
"2,3,4,6-Tetranitrotoluene","2,3,4,6-TetNT",NAC,C7H4N4O8,-47.0,1.737,84.9,165.0,5.82,7.667,255.2,5526.0,45.0,19.0,c1(c(cc(c(c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C
Pentanitrotoluene,PNT,NAC,C7H3N5O10,-27.7,1.822,143.7,194.0,6.26,8.268,305.4,6615.0,23.0,18.0,c1(c(c(c(c(c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C
pentanitroaniline,PNA,NAC,C6H2N6O10,-15.1,1.932,159.6,206.0,6.18,8.762,354.9,7454.0,19.0,15.0,Nc1c(c(c(c(c1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
"2,3,4,5-Tetranitrotoluene","2,3,4,5-TetNT",NAC,C7H4N4O8,-47.0,1.737,96.6,165.0,5.87,7.682,256.2,5568.0,45.0,15.0,c1(cc(c(c(c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C
hexanitrobenzene,HNB,NAC,C6N6O12,0.0,1.971,235.6,218.0,6.83,9.172,393.3,8321.0,8.0,12.0,N(=O)(=O)c1c(c(c(c(c1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
Pentanitrobenzene,PNB,NAC,C6HN5O10,-13.2,1.902,168.5,190.0,6.49,8.692,346.1,7333.0,12.0,11.0,c1c(c(c(c(c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
